arm,node,role,attack_start_s,t_s,requests,requests_per_s
baseline,srv4,none,0,100,24,2.4000
baseline,srv4,none,0,110,23,2.3000
baseline,srv4,none,0,120,24,2.4000
baseline,srv4,none,0,130,23,2.3000
baseline,srv4,none,0,140,25,2.5000
baseline,srv4,none,0,150,24,2.4000
baseline,srv4,none,0,160,25,2.5000
baseline,srv4,none,0,170,21,2.1000
baseline,srv4,none,0,180,25,2.5000
baseline,srv4,none,0,190,24,2.4000
baseline,srv4,none,0,200,25,2.5000
baseline,srv4,none,0,210,24,2.4000
baseline,srv4,none,0,220,23,2.3000
baseline,srv4,none,0,230,25,2.5000
baseline,srv4,none,0,240,22,2.2000
baseline,srv4,none,0,250,24,2.4000
baseline,srv4,none,0,260,25,2.5000
baseline,srv4,none,0,270,24,2.4000
baseline,srv4,none,0,280,24,2.4000
baseline,srv4,none,0,290,24,2.4000
baseline,srv4,none,0,300,14,1.4000
baseline,srv5,none,0,0,15,1.5000
baseline,srv5,none,0,10,25,2.5000
baseline,srv5,none,0,20,22,2.2000
baseline,srv5,none,0,30,24,2.4000
baseline,srv5,none,0,40,24,2.4000
baseline,srv5,none,0,50,25,2.5000
baseline,srv5,none,0,60,64,6.4000
baseline,srv5,none,0,70,100,10.0000
baseline,srv5,none,0,80,100,10.0000
baseline,srv5,none,0,90,98,9.8000
baseline,srv5,none,0,100,100,10.0000
baseline,srv5,none,0,110,101,10.1000
baseline,srv5,none,0,120,100,10.0000
baseline,srv5,none,0,130,98,9.8000
baseline,srv5,none,0,140,100,10.0000
baseline,srv5,none,0,150,101,10.1000
baseline,srv5,none,0,160,101,10.1000
baseline,srv5,none,0,170,100,10.0000
baseline,srv5,none,0,180,102,10.2000
baseline,srv5,none,0,190,98,9.8000
baseline,srv5,none,0,200,99,9.9000
baseline,srv5,none,0,210,101,10.1000
baseline,srv5,none,0,220,100,10.0000
baseline,srv5,none,0,230,97,9.7000
baseline,srv5,none,0,240,100,10.0000
baseline,srv5,none,0,250,98,9.8000
baseline,srv5,none,0,260,101,10.1000
baseline,srv5,none,0,270,98,9.8000
baseline,srv5,none,0,280,99,9.9000
baseline,srv5,none,0,290,99,9.9000
baseline,srv5,none,0,300,55,5.5000
baseline,srv6,drop,30,0,12,1.2000
baseline,srv6,drop,30,10,21,2.1000
baseline,srv6,drop,30,20,23,2.3000
baseline,srv6,drop,30,30,14,1.4000
baseline,srv6,drop,30,40,9,0.9000
baseline,srv6,drop,30,50,10,1.0000
baseline,srv6,drop,30,60,5,0.5000
baseline,srv6,drop,30,70,10,1.0000
baseline,srv6,drop,30,80,9,0.9000
baseline,srv6,drop,30,90,6,0.6000
baseline,srv6,drop,30,100,10,1.0000
baseline,srv6,drop,30,110,8,0.8000
baseline,srv6,drop,30,120,7,0.7000
baseline,srv6,drop,30,130,10,1.0000
baseline,srv6,drop,30,140,7,0.7000
baseline,srv6,drop,30,150,8,0.8000
baseline,srv6,drop,30,160,10,1.0000
baseline,srv6,drop,30,170,7,0.7000
baseline,srv6,drop,30,180,8,0.8000
baseline,srv6,drop,30,190,10,1.0000
baseline,srv6,drop,30,200,7,0.7000
baseline,srv6,drop,30,210,8,0.8000
baseline,srv6,drop,30,220,10,1.0000
baseline,srv6,drop,30,230,6,0.6000
baseline,srv6,drop,30,240,9,0.9000
baseline,srv6,drop,30,250,8,0.8000
baseline,srv6,drop,30,260,8,0.8000
baseline,srv6,drop,30,270,9,0.9000
baseline,srv6,drop,30,280,8,0.8000
baseline,srv6,drop,30,290,7,0.7000
baseline,srv6,drop,30,300,5,0.5000
baseline,srv7,none,0,0,15,1.5000
baseline,srv7,none,0,10,25,2.5000
baseline,srv7,none,0,20,22,2.2000
baseline,srv7,none,0,30,23,2.3000
baseline,srv7,none,0,40,25,2.5000
baseline,srv7,none,0,50,23,2.3000
baseline,srv7,none,0,60,24,2.4000
baseline,srv7,none,0,70,23,2.3000
baseline,srv7,none,0,80,24,2.4000
baseline,srv7,none,0,90,23,2.3000
baseline,srv7,none,0,100,25,2.5000
baseline,srv7,none,0,110,22,2.2000
baseline,srv7,none,0,120,23,2.3000
baseline,srv7,none,0,130,25,2.5000
baseline,srv7,none,0,140,25,2.5000
baseline,srv7,none,0,150,21,2.1000
baseline,srv7,none,0,160,24,2.4000
baseline,srv7,none,0,170,25,2.5000
baseline,srv7,none,0,180,24,2.4000
baseline,srv7,none,0,190,21,2.1000
baseline,srv7,none,0,200,25,2.5000
baseline,srv7,none,0,210,24,2.4000
baseline,srv7,none,0,220,23,2.3000
baseline,srv7,none,0,230,23,2.3000
baseline,srv7,none,0,240,24,2.4000
baseline,srv7,none,0,250,24,2.4000
baseline,srv7,none,0,260,24,2.4000
baseline,srv7,none,0,270,22,2.2000
baseline,srv7,none,0,280,25,2.5000
baseline,srv7,none,0,290,23,2.3000
baseline,srv7,none,0,300,14,1.4000
baseline,srv8,onoff,50,0,15,1.5000
baseline,srv8,onoff,50,10,25,2.5000
baseline,srv8,onoff,50,20,24,2.4000
baseline,srv8,onoff,50,30,22,2.2000
baseline,srv8,onoff,50,40,24,2.4000
baseline,srv8,onoff,50,50,22,2.2000
baseline,srv8,onoff,50,60,24,2.4000
baseline,srv8,onoff,50,70,23,2.3000
baseline,srv8,onoff,50,80,23,2.3000
baseline,srv8,onoff,50,90,24,2.4000
baseline,srv8,onoff,50,100,22,2.2000
baseline,srv8,onoff,50,110,24,2.4000
baseline,srv8,onoff,50,120,22,2.2000
baseline,srv8,onoff,50,130,23,2.3000
baseline,srv8,onoff,50,140,23,2.3000
baseline,srv8,onoff,50,150,24,2.4000
baseline,srv8,onoff,50,160,22,2.2000
baseline,srv8,onoff,50,170,23,2.3000
baseline,srv8,onoff,50,180,23,2.3000
baseline,srv8,onoff,50,190,22,2.2000
baseline,srv8,onoff,50,200,24,2.4000
baseline,srv8,onoff,50,210,21,2.1000
baseline,srv8,onoff,50,220,24,2.4000
baseline,srv8,onoff,50,230,24,2.4000
baseline,srv8,onoff,50,240,23,2.3000
baseline,srv8,onoff,50,250,23,2.3000
baseline,srv8,onoff,50,260,22,2.2000
baseline,srv8,onoff,50,270,23,2.3000
baseline,srv8,onoff,50,280,24,2.4000
baseline,srv8,onoff,50,290,22,2.2000
baseline,srv8,onoff,50,300,13,1.3000
zero_trust,srv1,grayhole,40,0,17,1.7000
zero_trust,srv1,grayhole,40,10,10,1.0000
zero_trust,srv1,grayhole,40,20,18,1.8000
zero_trust,srv1,grayhole,40,30,24,2.4000
zero_trust,srv1,grayhole,40,40,9,0.9000
zero_trust,srv1,grayhole,40,50,1,0.1000
zero_trust,srv1,grayhole,40,60,1,0.1000
zero_trust,srv1,grayhole,40,70,6,0.6000
zero_trust,srv1,grayhole,40,80,7,0.7000
zero_trust,srv1,grayhole,40,90,0,0.0000
zero_trust,srv1,grayhole,40,100,2,0.2000
zero_trust,srv1,grayhole,40,110,1,0.1000
zero_trust,srv1,grayhole,40,120,2,0.2000
zero_trust,srv1,grayhole,40,130,2,0.2000
zero_trust,srv1,grayhole,40,140,2,0.2000
zero_trust,srv1,grayhole,40,150,2,0.2000
zero_trust,srv1,grayhole,40,160,2,0.2000
zero_trust,srv1,grayhole,40,170,2,0.2000
zero_trust,srv1,grayhole,40,180,2,0.2000
zero_trust,srv1,grayhole,40,190,2,0.2000
zero_trust,srv1,grayhole,40,200,1,0.1000
zero_trust,srv1,grayhole,40,210,2,0.2000
zero_trust,srv1,grayhole,40,220,2,0.2000
zero_trust,srv1,grayhole,40,230,2,0.2000
zero_trust,srv1,grayhole,40,240,2,0.2000
zero_trust,srv1,grayhole,40,250,2,0.2000
zero_trust,srv1,grayhole,40,260,2,0.2000
zero_trust,srv1,grayhole,40,270,1,0.1000
zero_trust,srv1,grayhole,40,280,2,0.2000
zero_trust,srv1,grayhole,40,290,2,0.2000
zero_trust,srv1,grayhole,40,300,2,0.2000
zero_trust,srv2,none,0,0,13,1.3000
zero_trust,srv2,none,0,10,24,2.4000
zero_trust,srv2,none,0,20,41,4.1000
zero_trust,srv2,none,0,30,25,2.5000
zero_trust,srv2,none,0,40,27,2.7000
zero_trust,srv2,none,0,50,41,4.1000
zero_trust,srv2,none,0,60,49,4.9000
zero_trust,srv2,none,0,70,54,5.4000
zero_trust,srv2,none,0,80,41,4.1000
zero_trust,srv2,none,0,90,53,5.3000
zero_trust,srv2,none,0,100,52,5.2000
zero_trust,srv2,none,0,110,57,5.7000
zero_trust,srv2,none,0,120,53,5.3000
zero_trust,srv2,none,0,130,57,5.7000
zero_trust,srv2,none,0,140,75,7.5000
zero_trust,srv2,none,0,150,38,3.8000
zero_trust,srv2,none,0,160,56,5.6000
zero_trust,srv2,none,0,170,31,3.1000
zero_trust,srv2,none,0,180,52,5.2000
zero_trust,srv2,none,0,190,66,6.6000
zero_trust,srv2,none,0,200,48,4.8000
zero_trust,srv2,none,0,210,61,6.1000
zero_trust,srv2,none,0,220,48,4.8000
zero_trust,srv2,none,0,230,23,2.3000
zero_trust,srv2,none,0,240,59,5.9000
zero_trust,srv2,none,0,250,72,7.2000
zero_trust,srv2,none,0,260,62,6.2000
zero_trust,srv2,none,0,270,38,3.8000
zero_trust,srv2,none,0,280,46,4.6000
zero_trust,srv2,none,0,290,26,2.6000
zero_trust,srv2,none,0,300,38,3.8000
zero_trust,srv3,sybil,20,0,17,1.7000
zero_trust,srv3,sybil,20,10,22,2.2000
zero_trust,srv3,sybil,20,20,10,1.0000
zero_trust,srv3,sybil,20,30,0,0.0000
zero_trust,srv3,sybil,20,40,0,0.0000
zero_trust,srv3,sybil,20,50,0,0.0000
zero_trust,srv3,sybil,20,60,0,0.0000
zero_trust,srv3,sybil,20,70,0,0.0000
zero_trust,srv3,sybil,20,80,0,0.0000
zero_trust,srv3,sybil,20,90,0,0.0000
zero_trust,srv3,sybil,20,100,5,0.5000
zero_trust,srv3,sybil,20,110,7,0.7000
zero_trust,srv3,sybil,20,120,1,0.1000
zero_trust,srv3,sybil,20,130,0,0.0000
zero_trust,srv3,sybil,20,140,0,0.0000
zero_trust,srv3,sybil,20,150,1,0.1000
zero_trust,srv3,sybil,20,160,2,0.2000
zero_trust,srv3,sybil,20,170,0,0.0000
zero_trust,srv3,sybil,20,180,2,0.2000
zero_trust,srv3,sybil,20,190,0,0.0000
zero_trust,srv3,sybil,20,200,0,0.0000
zero_trust,srv3,sybil,20,210,0,0.0000
zero_trust,srv3,sybil,20,220,0,0.0000
zero_trust,srv3,sybil,20,230,0,0.0000
zero_trust,srv3,sybil,20,240,0,0.0000
zero_trust,srv3,sybil,20,250,0,0.0000
zero_trust,srv3,sybil,20,260,0,0.0000
zero_trust,srv3,sybil,20,270,1,0.1000
zero_trust,srv3,sybil,20,280,0,0.0000
zero_trust,srv3,sybil,20,290,0,0.0000
zero_trust,srv3,sybil,20,300,7,0.7000
zero_trust,srv4,none,0,0,24,2.4000
zero_trust,srv4,none,0,10,22,2.2000
zero_trust,srv4,none,0,20,31,3.1000
zero_trust,srv4,none,0,30,14,1.4000
zero_trust,srv4,none,0,40,27,2.7000
zero_trust,srv4,none,0,50,35,3.5000
zero_trust,srv4,none,0,60,53,5.3000
zero_trust,srv4,none,0,70,56,5.6000
zero_trust,srv4,none,0,80,51,5.1000
zero_trust,srv4,none,0,90,32,3.2000
zero_trust,srv4,none,0,100,51,5.1000
zero_trust,srv4,none,0,110,52,5.2000
zero_trust,srv4,none,0,120,51,5.1000
zero_trust,srv4,none,0,130,44,4.4000
zero_trust,srv4,none,0,140,52,5.2000
zero_trust,srv4,none,0,150,56,5.6000
zero_trust,srv4,none,0,160,46,4.6000
zero_trust,srv4,none,0,170,36,3.6000
zero_trust,srv4,none,0,180,34,3.4000
zero_trust,srv4,none,0,190,54,5.4000
zero_trust,srv4,none,0,200,57,5.7000
zero_trust,srv4,none,0,210,49,4.9000
zero_trust,srv4,none,0,220,59,5.9000
zero_trust,srv4,none,0,230,46,4.6000
zero_trust,srv4,none,0,240,36,3.6000
zero_trust,srv4,none,0,250,35,3.5000
zero_trust,srv4,none,0,260,60,6.0000
zero_trust,srv4,none,0,270,36,3.6000
zero_trust,srv4,none,0,280,53,5.3000
zero_trust,srv4,none,0,290,74,7.4000
zero_trust,srv4,none,0,300,42,4.2000
zero_trust,srv5,none,0,0,14,1.4000
zero_trust,srv5,none,0,10,20,2.0000
zero_trust,srv5,none,0,20,25,2.5000
zero_trust,srv5,none,0,30,26,2.6000
zero_trust,srv5,none,0,40,38,3.8000
zero_trust,srv5,none,0,50,36,3.6000
zero_trust,srv5,none,0,60,45,4.5000
zero_trust,srv5,none,0,70,50,5.0000
zero_trust,srv5,none,0,80,39,3.9000
zero_trust,srv5,none,0,90,78,7.8000
zero_trust,srv5,none,0,100,56,5.6000
zero_trust,srv5,none,0,110,58,5.8000
zero_trust,srv5,none,0,120,65,6.5000
zero_trust,srv5,none,0,130,43,4.3000
zero_trust,srv5,none,0,140,63,6.3000
zero_trust,srv5,none,0,150,48,4.8000
zero_trust,srv5,none,0,160,54,5.4000
zero_trust,srv5,none,0,170,46,4.6000
zero_trust,srv5,none,0,180,80,8.0000
zero_trust,srv5,none,0,190,61,6.1000
zero_trust,srv5,none,0,200,59,5.9000
zero_trust,srv5,none,0,210,28,2.8000
zero_trust,srv5,none,0,220,65,6.5000
zero_trust,srv5,none,0,230,41,4.1000
zero_trust,srv5,none,0,240,54,5.4000
zero_trust,srv5,none,0,250,60,6.0000
zero_trust,srv5,none,0,260,51,5.1000
zero_trust,srv5,none,0,270,45,4.5000
zero_trust,srv5,none,0,280,70,7.0000
zero_trust,srv5,none,0,290,55,5.5000
zero_trust,srv5,none,0,300,55,5.5000
zero_trust,srv6,drop,30,0,1,0.1000
zero_trust,srv6,drop,30,10,2,0.2000
zero_trust,srv6,drop,30,20,4,0.4000
zero_trust,srv6,drop,30,30,14,1.4000
zero_trust,srv6,drop,30,40,2,0.2000
zero_trust,srv6,drop,30,50,2,0.2000
zero_trust,srv6,drop,30,60,2,0.2000
zero_trust,srv6,drop,30,70,1,0.1000
zero_trust,srv6,drop,30,80,2,0.2000
zero_trust,srv6,drop,30,90,2,0.2000
zero_trust,srv6,drop,30,100,2,0.2000
zero_trust,srv6,drop,30,110,2,0.2000
zero_trust,srv6,drop,30,120,2,0.2000
zero_trust,srv6,drop,30,130,2,0.2000
zero_trust,srv6,drop,30,140,2,0.2000
zero_trust,srv6,drop,30,150,1,0.1000
zero_trust,srv6,drop,30,160,2,0.2000
zero_trust,srv6,drop,30,170,2,0.2000
zero_trust,srv6,drop,30,180,2,0.2000
zero_trust,srv6,drop,30,190,2,0.2000
zero_trust,srv6,drop,30,200,2,0.2000
zero_trust,srv6,drop,30,210,2,0.2000
zero_trust,srv6,drop,30,220,2,0.2000
zero_trust,srv6,drop,30,230,2,0.2000
zero_trust,srv6,drop,30,240,2,0.2000
zero_trust,srv6,drop,30,250,2,0.2000
zero_trust,srv6,drop,30,260,2,0.2000
zero_trust,srv6,drop,30,270,2,0.2000
zero_trust,srv6,drop,30,280,2,0.2000
zero_trust,srv6,drop,30,290,2,0.2000
zero_trust,srv6,drop,30,300,1,0.1000
zero_trust,srv7,none,0,0,1,0.1000
zero_trust,srv7,none,0,10,21,2.1000
zero_trust,srv7,none,0,20,23,2.3000
zero_trust,srv7,none,0,30,22,2.2000
zero_trust,srv7,none,0,40,22,2.2000
zero_trust,srv7,none,0,50,41,4.1000
zero_trust,srv7,none,0,60,31,3.1000
zero_trust,srv7,none,0,70,51,5.1000
zero_trust,srv7,none,0,80,37,3.7000
zero_trust,srv7,none,0,90,43,4.3000
zero_trust,srv7,none,0,100,43,4.3000
zero_trust,srv7,none,0,110,43,4.3000
zero_trust,srv7,none,0,120,58,5.8000
zero_trust,srv7,none,0,130,31,3.1000
zero_trust,srv7,none,0,140,51,5.1000
zero_trust,srv7,none,0,150,53,5.3000
zero_trust,srv7,none,0,160,55,5.5000
zero_trust,srv7,none,0,170,70,7.0000
zero_trust,srv7,none,0,180,55,5.5000
zero_trust,srv7,none,0,190,39,3.9000
zero_trust,srv7,none,0,200,62,6.2000
zero_trust,srv7,none,0,210,54,5.4000
zero_trust,srv7,none,0,220,47,4.7000
zero_trust,srv7,none,0,230,55,5.5000
zero_trust,srv7,none,0,240,69,6.9000
zero_trust,srv7,none,0,250,46,4.6000
zero_trust,srv7,none,0,260,39,3.9000
zero_trust,srv7,none,0,270,39,3.9000
zero_trust,srv7,none,0,280,57,5.7000
zero_trust,srv7,none,0,290,47,4.7000
zero_trust,srv7,none,0,300,63,6.3000
zero_trust,srv8,onoff,50,0,24,2.4000
zero_trust,srv8,onoff,50,10,29,2.9000
zero_trust,srv8,onoff,50,20,31,3.1000
zero_trust,srv8,onoff,50,30,36,3.6000
zero_trust,srv8,onoff,50,40,39,3.9000
zero_trust,srv8,onoff,50,50,17,1.7000
zero_trust,srv8,onoff,50,60,22,2.2000
zero_trust,srv8,onoff,50,70,28,2.8000
zero_trust,srv8,onoff,50,80,9,0.9000
zero_trust,srv8,onoff,50,90,35,3.5000
zero_trust,srv8,onoff,50,100,10,1.0000
zero_trust,srv8,onoff,50,110,17,1.7000
zero_trust,srv8,onoff,50,120,4,0.4000
zero_trust,srv8,onoff,50,130,45,4.5000
zero_trust,srv8,onoff,50,140,0,0.0000
zero_trust,srv8,onoff,50,150,24,2.4000
zero_trust,srv8,onoff,50,160,1,0.1000
zero_trust,srv8,onoff,50,170,42,4.2000
zero_trust,srv8,onoff,50,180,3,0.3000
zero_trust,srv8,onoff,50,190,7,0.7000
zero_trust,srv8,onoff,50,200,1,0.1000
zero_trust,srv8,onoff,50,210,31,3.1000
zero_trust,srv8,onoff,50,220,0,0.0000
zero_trust,srv8,onoff,50,230,46,4.6000
zero_trust,srv8,onoff,50,240,2,0.2000
zero_trust,srv8,onoff,50,250,21,2.1000
zero_trust,srv8,onoff,50,260,0,0.0000
zero_trust,srv8,onoff,50,270,34,3.4000
zero_trust,srv8,onoff,50,280,4,0.4000
zero_trust,srv8,onoff,50,290,23,2.3000
zero_trust,srv8,onoff,50,300,0,0.0000
